resnet18,10,1,15.4145
resnet18,10,2,20.6567
resnet18,10,3,27.3756
resnet18,10,4,31.5452
resnet18,10,5,35.9718
resnet18,10,6,42.749
resnet18,10,7,45.0648
resnet18,10,8,49.8485
resnet18,20,1,8.43893
resnet18,20,2,10.9243
resnet18,20,3,14.0541
resnet18,20,4,16.2015
resnet18,20,5,18.4205
resnet18,20,6,21.9702
resnet18,20,7,23.2432
resnet18,20,8,25.9711
resnet18,30,1,4.74364
resnet18,30,2,6.25085
resnet18,30,3,7.55303
resnet18,30,4,8.86176
resnet18,30,5,9.91474
resnet18,30,6,11.8982
resnet18,30,7,12.7424
resnet18,30,8,14.2596
resnet18,40,1,3.93789
resnet18,40,2,5.17018
resnet18,40,3,6.34709
resnet18,40,4,7.42089
resnet18,40,5,8.49221
resnet18,40,6,9.77865
resnet18,40,7,10.6807
resnet18,40,8,11.6844
resnet18,50,1,3.10007
resnet18,50,2,4.06082
resnet18,50,3,5.18105
resnet18,50,4,5.6579
resnet18,50,5,6.50387
resnet18,50,6,7.77715
resnet18,50,7,8.44018
resnet18,50,8,9.15649
resnet18,60,1,2.9382
resnet18,60,2,3.81846
resnet18,60,3,4.75266
resnet18,60,4,5.32033
resnet18,60,5,5.77889
resnet18,60,6,7.07042
resnet18,60,7,7.47865
resnet18,60,8,8.56295
resnet18,70,1,2.56998
resnet18,70,2,3.36508
resnet18,70,3,4.36643
resnet18,70,4,4.8653
resnet18,70,5,5.50588
resnet18,70,6,6.79474
resnet18,70,7,6.97337
resnet18,70,8,7.64676
resnet18,80,1,2.50689
resnet18,80,2,3.18631
resnet18,80,3,3.89908
resnet18,80,4,4.42142
resnet18,80,5,4.85427
resnet18,80,6,5.8533
resnet18,80,7,6.16255
resnet18,80,8,6.99901
resnet18,90,1,2.4642
resnet18,90,2,3.1159
resnet18,90,3,3.54947
resnet18,90,4,4.31566
resnet18,90,5,4.73119
resnet18,90,6,5.50517
resnet18,90,7,5.82051
resnet18,90,8,6.93006
resnet18,100,1,2.45548
resnet18,100,2,2.87249
resnet18,100,3,3.54656
resnet18,100,4,3.89129
resnet18,100,5,4.5294
resnet18,100,6,5.28868
resnet18,100,7,5.61411
resnet18,100,8,6.02798
resnet50,10,1,36.7334
resnet50,10,2,53.4304
resnet50,10,3,69.6511
resnet50,10,4,83.0399
resnet50,10,5,96.7195
resnet50,10,6,113.22
resnet50,10,7,123.853
resnet50,10,8,134.506
resnet50,20,1,18.8121
resnet50,20,2,27.2874
resnet50,20,3,35.4038
resnet50,20,4,42.2028
resnet50,20,5,48.9418
resnet50,20,6,57.4685
resnet50,20,7,62.7445
resnet50,20,8,68.5144
resnet50,30,1,10.5272
resnet50,30,2,14.6803
resnet50,30,3,18.6874
resnet50,30,4,22.5138
resnet50,30,5,25.771
resnet50,30,6,30.5228
resnet50,30,7,33.5662
resnet50,30,8,36.7344
resnet50,40,1,8.87089
resnet50,40,2,12.2895
resnet50,40,3,15.4384
resnet50,40,4,18.5323
resnet50,40,5,21.7151
resnet50,40,6,24.8518
resnet50,40,7,27.7449
resnet50,40,8,29.724
resnet50,50,1,6.87166
resnet50,50,2,9.54432
resnet50,50,3,11.8659
resnet50,50,4,14.0499
resnet50,50,5,16.5201
resnet50,50,6,19.5175
resnet50,50,7,21.7959
resnet50,50,8,23.205
resnet50,60,1,6.45552
resnet50,60,2,8.97047
resnet50,60,3,10.8809
resnet50,60,4,13.2008
resnet50,60,5,14.6286
resnet50,60,6,17.7403
resnet50,60,7,19.3061
resnet50,60,8,21.7505
resnet50,70,1,5.81542
resnet50,70,2,7.91862
resnet50,70,3,10.3593
resnet50,70,4,11.9032
resnet50,70,5,13.8806
resnet50,70,6,16.8547
resnet50,70,7,18.0106
resnet50,70,8,19.6279
resnet50,80,1,5.39509
resnet50,80,2,7.20577
resnet50,80,3,8.78621
resnet50,80,4,10.7648
resnet50,80,5,12.0145
resnet50,80,6,14.3148
resnet50,80,7,15.5237
resnet50,80,8,17.6972
resnet50,90,1,5.20728
resnet50,90,2,7.22506
resnet50,90,3,8.39369
resnet50,90,4,10.4531
resnet50,90,5,11.664
resnet50,90,6,13.7976
resnet50,90,7,14.8039
resnet50,90,8,17.3475
resnet50,100,1,4.99276
resnet50,100,2,6.43964
resnet50,100,3,7.95597
resnet50,100,4,9.22024
resnet50,100,5,11.1813
resnet50,100,6,12.8665
resnet50,100,7,14.1506
resnet50,100,8,15.1307
vgg16,10,1,52.9736
vgg16,10,2,95.5573
vgg16,10,3,138.341
vgg16,10,4,174.244
vgg16,10,5,213.294
vgg16,10,6,250.722
vgg16,10,7,290.317
vgg16,10,8,328.677
vgg16,20,1,27.5273
vgg16,20,2,51.7532
vgg16,20,3,70.0144
vgg16,20,4,88.0098
vgg16,20,5,107.695
vgg16,20,6,126.619
vgg16,20,7,147.188
vgg16,20,8,166.514
vgg16,30,1,15.0684
vgg16,30,2,25.3502
vgg16,30,3,35.4256
vgg16,30,4,44.4511
vgg16,30,5,56.3603
vgg16,30,6,66.0943
vgg16,30,7,77.1212
vgg16,30,8,87.0478
vgg16,40,1,12.5458
vgg16,40,2,20.9538
vgg16,40,3,28.8922
vgg16,40,4,36.6536
vgg16,40,5,46.1433
vgg16,40,6,54.2788
vgg16,40,7,62.5383
vgg16,40,8,70.7383
vgg16,50,1,9.93157
vgg16,50,2,16.8802
vgg16,50,3,22.6115
vgg16,50,4,28.1206
vgg16,50,5,34.366
vgg16,50,6,40.522
vgg16,50,7,46.4119
vgg16,50,8,52.0668
vgg16,60,1,9.56744
vgg16,60,2,15.1374
vgg16,60,3,20.3955
vgg16,60,4,25.7597
vgg16,60,5,30.4939
vgg16,60,6,35.9421
vgg16,60,7,41.2521
vgg16,60,8,46.9139
vgg16,70,1,8.40287
vgg16,70,2,13.8663
vgg16,70,3,18.9822
vgg16,70,4,22.852
